"ID","SESCORE__SUPPORTER_ID__C","MAILINGCOUNTRY","STATUS"
"0035g00000oaxo9AAA","S0453423M1","Malaysia","Item Updated"
"0035g00000mfgaNAAQ","S0034624M1","Malaysia","Item Updated"
"0035g00000ob4qvAAA","S0480255M1","Malaysia","Item Updated"
"0035g00000mfjy6AAA","S0047552M1","Malaysia","Item Updated"
"0035g00000mfq3uAAA","S0070526M1","Malaysia","Item Updated"
"0035g00000mgbINAAY","S0249501M1","Malaysia","Item Updated"
"0035g00000mgNzQAAU","S0198764M1","Malaysia","Item Updated"
"0035g00000mfleyAAA","S0053844M1","Malaysia","Item Updated"
"0035g00000mgCVIAA2","S0155537M1","Malaysia","Item Updated"
"0035g00000mglBZAAY","S0286914M1","Malaysia","Item Updated"
"0035g00000mfqDSAAY","S0071008M1","Malaysia","Item Updated"
"0035g00000mgGNqAAM","S0170006M1","Malaysia","Item Updated"
"0035g00000mgm1KAAQ","S0290118M1","Malaysia","Item Updated"
"0035g00000mfvJMAAY","S0090104M1","Malaysia","Item Updated"
"0035g00000mggSEAAY","S0269091M1","Malaysia","Item Updated"
"0035g00000mgVmcAAE","S0228492M1","Malaysia","Item Updated"
"0035g00000mgFWCAA2","S0166710M1","Malaysia","Item Updated"
"0035g00000mgYmMAAU","S0239923M1","Malaysia","Item Updated"
"0035g00000mgdwfAAA","S0259522M1","Malaysia","Item Updated"
"0035g00000mfjkTAAQ","S0046712M1","Malaysia","Item Updated"
"0035g00000mgcURAAY","S0254053M1","Malaysia","Item Updated"
"0035g00000oalKlAAI","S0406503M1","Malaysia","Item Updated"
"0035g00000mfce0AAA","S0019603M1","Malaysia","Item Updated"
"0035g00000oaz8UAAQ","S0458393M1","Malaysia","Item Updated"
"0035g00000mfjXlAAI","S0045924M1","Malaysia","Item Updated"
"0035g00000mfpt5AAA","S0069915M1","Malaysia","Item Updated"
"0035g00000mgbIoAAI","S0249528M1","Malaysia","Item Updated"
"0035g00000mfzThAAI","S0105876M1","Malaysia","Item Updated"
"0035g00000mflfEAAQ","S0053860M1","Malaysia","Item Updated"
"0035g00000mgC8wAAE","S0154166M1","Malaysia","Item Updated"
"0035g00000mglKXAAY","S0287470M1","Malaysia","Item Updated"
"0035g00000mfogJAAQ","S0065329M1","Malaysia","Item Updated"
"0035g00000mgGP5AAM","S0170083M1","Malaysia","Item Updated"
"0035g00000oaYptAAE","S0359967M1","Malaysia","Item Updated"
"0035g00000mfwp5AAA","S0095855M1","Malaysia","Item Updated"
"0035g00000mggSFAAY","S0269092M1","Malaysia","Item Updated"
"0035g00000mgVnPAAU","S0228541M1","Malaysia","Item Updated"
"0035g00000mgga3AAA","S0269572M1","Malaysia","Item Updated"
"0035g00000mgYmNAAU","S0239924M1","Malaysia","Item Updated"
"0035g00000mgdwhAAA","S0259524M1","Malaysia","Item Updated"
"0035g00000mffNOAAY","S0029985M1","Malaysia","Item Updated"
"0035g00000mggOfAAI","S0268876M1","Malaysia","Item Updated"
"0035g00000oapSyAAI","S0421888M1","Malaysia","Item Updated"
"0035g00000mfgaVAAQ","S0034632M1","Malaysia","Item Updated"
"0035g00000mgm2mAAA","S0290208M1","Malaysia","Item Updated"
"0035g00000oadPmAAI","S0376742M1","Malaysia","Item Updated"
"0035g00000mfprcAAA","S0069824M1","Malaysia","Item Updated"
"0035g00000mgaAhAAI","S0245236M1","Malaysia","Item Updated"
"0035g00000mg0qGAAQ","S0111079M1","Malaysia","Item Updated"
"0035g00000mfmPGAAY","S0056689M1","Malaysia","Item Updated"
"0035g00000mgCL9AAM","S0154923M1","Malaysia","Item Updated"
"0035g00000mglBgAAI","S0286921M1","Malaysia","Item Updated"
"0035g00000mfogOAAQ","S0065334M1","Malaysia","Item Updated"
"0035g00000mgGP9AAM","S0170087M1","Malaysia","Item Updated"
"0035g00000oawp8AAA","S0449690M1","Malaysia","Item Updated"
"0035g00000mfvqzAAA","S0092164M1","Malaysia","Item Updated"
"0035g00000mgUIUAA2","S0222805M1","Malaysia","Item Updated"
"0035g00000mgUV1AAM","S0223577M1","Malaysia","Item Updated"
"0035g00000mgga5AAA","S0269574M1","Malaysia","Item Updated"
"0035g00000mgYmQAAU","S0239927M1","Malaysia","Item Updated"
"0035g00000oaToWAAU","S0340905M1","Malaysia","Item Updated"
"0035g00000mfYVZAA2","S0004157M1","Malaysia","Item Updated"
"0035g00000mggOiAAI","S0268879M1","Malaysia","Item Updated"
"0035g00000oap87AAA","S0420615M1","Malaysia","Item Updated"
"0035g00000mfgnSAAQ","S0035430M1","Malaysia","Item Updated"
"0035g00000mgrwZAAQ","S0312027M1","Malaysia","Item Updated"
"0035g00000oadHMAAY","S0376220M1","Malaysia","Item Updated"
"0035g00000mfmK7AAI","S0056370M1","Malaysia","Item Updated"
"0035g00000mgaAvAAI","S0245250M1","Malaysia","Item Updated"
"0035g00000mg0qxAAA","S0111122M1","Malaysia","Item Updated"
"0035g00000mfmOOAAY","S0056635M1","Malaysia","Item Updated"
"0035g00000mgCBTAA2","S0154323M1","Malaysia","Item Updated"
"0035g00000mgkbLAAQ","S0284803M1","Malaysia","Item Updated"
"0035g00000mfoWDAAY","S0064708M1","Malaysia","Item Updated"
"0035g00000mgGPTAA2","S0170107M1","Malaysia","Item Updated"
